action,reward,state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,next_0,next_1,next_2,next_3,next_4,next_5,next_6,next_7,next_8,next_9,next_10,next_11
0,0.0,312.32822,-0.3999939,608890.0,0.2243114,0.41318014,0.1000061,311.9,311.8,0.26032653,0.37536654,580.4975,1602.5641,312.0,-0.3999939,1602.5641,0.2243114,0.41318014,0.1000061,311.9,311.8,0.26032653,0.37536654,580.4975,1602.5641
1,0.0,312.3262,-0.2999878,608907.25,0.22544086,0.41318014,0.1000061,311.9,311.8,0.26032653,0.37536654,572.84424,4468.745,312.0,-0.2999878,4468.745,0.22544086,0.41318014,0.1000061,311.9,311.8,0.26032653,0.37536654,572.84424,4468.745
1,-0.01,312.32474,-0.2999878,608907.25,0.22660398,0.41318014,0.1000061,311.9,311.8,0.26032653,0.37536654,572.84424,16.028847,312.0,-0.2999878,16.028847,0.22660398,0.41318014,0.1000061,311.9,311.8,0.26032653,0.37536654,572.84424,16.028847
0,0.0,312.32272,-0.5,607589.3,0.22856817,0.41318014,0.1000061,311.9,311.8,0.26032653,0.37536654,571.4322,66.0,311.9,-0.5,66.0,0.22856817,0.41318014,0.1000061,311.9,311.8,0.26032653,0.37536654,571.4322,66.0
0,-0.01,312.3202,-0.8000183,606270.7,0.23043358,0.40083396,0.1000061,311.9,311.8,0.25273487,0.37536654,571.4271,100.0,311.9,-0.8000183,100.0,0.23043358,0.40083396,0.1000061,311.9,311.8,0.25273487,0.37536654,571.4271,100.0
1,0.0,312.3162,-0.8999939,606375.94,0.2307458,0.40083396,0.1000061,311.9,311.8,0.25273487,0.37536654,569.21106,505.2943,311.9,-0.8999939,505.2943,0.2307458,0.40083396,0.1000061,311.9,311.8,0.25273487,0.37536654,569.21106,505.2943
0,0.0,312.31168,-0.8000183,610666.94,0.23003796,0.40083396,0.1000061,311.9,311.8,0.25273487,0.37536654,555.7035,5000.0,311.9,-0.8000183,5000.0,0.23003796,0.40083396,0.1000061,311.9,311.8,0.25273487,0.37536654,555.7035,5000.0
1,0.0,312.30765,-0.8000183,614772.1,0.23020287,0.40083396,0.1000061,311.9,311.8,0.25273487,0.37536654,555.6985,4600.1143,311.9,-0.8000183,4600.1143,0.23020287,0.40083396,0.1000061,311.9,311.8,0.25273487,0.37536654,555.6985,4600.1143
1,-0.01,312.30365,-0.8999939,610391.06,0.23029828,0.40083396,0.1000061,311.9,311.8,0.25273487,0.37536654,555.7035,32.061558,311.9,-0.8999939,32.061558,0.23029828,0.40083396,0.1000061,311.9,311.8,0.25273487,0.37536654,555.7035,32.061558
1,-0.01,312.29913,-0.8000183,606764.6,0.22934403,0.40083396,0.1000061,311.9,311.8,0.25273487,0.37536654,531.39197,469.62997,311.9,-0.8000183,469.62997,0.22934403,0.40083396,0.1000061,311.9,311.8,0.25273487,0.37536654,531.39197,469.62997
